"county","year","population.estimate","population.quintile","state.frac","state.frac.quintile","pop.per.chg","pop.per.chg.quintile"
"Humboldt",2008,132931,2,0.00362166635448771,2,0.368460394282824,2
"Humboldt",2009,133484,2,0.00361092423878747,2,0.416005295980622,3
"Humboldt",2010,134353,2,0.00360932089329705,2,0.651014353780228,4
"Humboldt",2011,135711,2,0.00361540870454315,2,1.01077013538961,4
"Humboldt",2012,135289,2,0.00357138737136581,2,-0.310954896802765,1
"Humboldt",2013,134998,2,0.00353035563734363,2,-0.215095092727421,1
"Humboldt",2014,134943,2,0.00349888230904712,2,-0.0407413443162121,1
"Humboldt",2015,135052,2,0.00347109187444461,2,0.0807748456755815,2
"Humboldt",2016,135116,2,0.00344192996499404,2,0.0473891538074223,1
"Imperial",1981,93400,3,0.00388535296809351,3,NA,NA
"Imperial",1982,94800,3,0.00386197906057767,3,1.49892933618844,3
"Imperial",1983,96000,3,0.00382836178018823,3,1.26582278481013,2
"Imperial",1984,96700,3,0.00377926290694493,3,0.729166666666667,1
"Imperial",1985,97800,3,0.00374526098112051,3,1.13753877973113,2
"Imperial",1986,99300,3,0.00371326004038591,3,1.53374233128834,3
"Imperial",1987,100600,3,0.00367314152183438,3,1.3091641490433,2
"Imperial",1988,102500,3,0.00365275649477923,3,1.88866799204771,4
"Imperial",1989,104900,3,0.00364603246324424,3,2.34146341463415,4
"Imperial",1990,108300,3,0.00366398267812437,3,3.24118207816969,5
"Imperial",1991,112628,3,0.00373638743008248,3,3.99630655586334,5
"Imperial",1992,118976,3,0.00387253874117363,3,5.63625386227226,5
"Imperial",1993,126463,3,0.00405970494612881,3,6.2928657880581,5
"Imperial",1994,131840,3,0.00419619503395086,3,4.25183650553917,5
"Imperial",1995,134848,3,0.00426494341631304,3,2.28155339805825,4
"Imperial",1996,137153,3,0.00430792100824568,3,1.7093319886094,3
"Imperial",1997,138581,3,0.00430270627342653,3,1.04117299658046,1
"Imperial",1998,139129,3,0.00426019731778646,3,0.395436603863444,1
"Imperial",1999,140026,3,0.00422518836390379,3,0.644725398730674,1
"Imperial",2000,141848,3,0.00420644546847045,3,1.30118692242869,2
"Imperial",2001,143941,3,0.00420182405303661,3,1.4755230951441,3
"Imperial",2002,145954,3,0.00420307649280143,3,1.39848965895749,2
"Imperial",2003,149041,3,0.0042385012300643,3,2.11504994724365,4
"Imperial",2004,152420,3,0.00428496965506613,3,2.26716138512221,4
"Imperial",2005,155793,3,0.00434336749274928,3,2.21296417792941,4
"Imperial",2006,160088,3,0.00443258125536013,3,2.75686327370293,5
"Imperial",2007,164707,3,0.00452495785951501,3,2.88528809154965,5
"Imperial",2008,168495,3,0.0045905971699559,3,2.29984153678957,4
"Imperial",2009,171670,3,0.00464390761493996,3,1.88432891183715,3
"Imperial",2010,174244,3,0.00468097109652669,3,1.49938836139104,3
"Imperial",2011,176370,3,0.0046985847368325,3,1.22012809623287,2
"Imperial",2012,178973,3,0.00472456675720461,3,1.47587458184498,3
"Imperial",2013,180221,3,0.00471298999479775,3,0.697311885032938,1
"Imperial",2014,181942,3,0.00471750031548617,3,0.954938658646884,1
"Imperial",2015,184500,3,0.00474199901397263,3,1.40594255312132,2
"Imperial",2016,185831,3,0.00473383823769803,3,0.721409214092141,1
"Inyo",1981,17900,1,0.000744623320437622,1,NA,NA
"Inyo",1982,18150,1,0.000739397889762496,1,1.39664804469274,5
"Inyo",1983,18400,1,0.000733769341202744,1,1.37741046831956,5
"Inyo",1984,18300,1,0.000715206941024739,1,-0.543478260869565,1
"Inyo",1985,18100,1,0.00069314134722169,1,-1.09289617486339,1
"Inyo",1986,17950,1,0.000671228778700172,1,-0.828729281767956,1
"Inyo",1987,17750,1,0.000648094055790857,1,-1.1142061281337,1
"Inyo",1988,17800,1,0.000634332347386052,1,0.28169014084507,4
"Inyo",1989,17950,1,0.000623892113586598,1,0.842696629213483,5
"Inyo",1990,18200,1,0.000615738547939644,1,1.39275766016713,5
"Inyo",1991,18250,1,0.000605436220114051,1,0.274725274725275,4
"Inyo",1992,18292,1,0.000595384604067611,1,0.23013698630137,4
"Inyo",1993,18311,1,0.000587818233543128,1,0.103870544500328,3
"Inyo",1994,18410,1,0.000585952295016955,1,0.540658620501338,4
"Inyo",1995,18427,1,0.000582805175697084,1,0.0923411189570885,3
"Inyo",1996,18386,1,0.000577496924293344,1,-0.222499592988549,2
"Inyo",1997,18434,1,0.000572344603115469,1,0.261068204068313,4
"Inyo",1998,18436,1,0.000564519242937929,1,0.0108495171964848,2
"Inyo",1999,18285,1,0.00055173731474141,1,-0.819049685398134,1
"Inyo",2000,18101,1,0.000536777884952791,1,-1.0062893081761,1
"Inyo",2001,18162,1,0.000530172282054807,1,0.336997955914038,4
"Inyo",2002,18311,1,0.000527306779257074,1,0.820394229710384,5
"Inyo",2003,18461,1,0.000525002993862206,1,0.81917972803233,5
"Inyo",2004,18533,1,0.000521016550435248,1,0.39001137533178,4
"Inyo",2005,18511,1,0.000516069885413862,1,-0.118707170992284,2
"Inyo",2006,18442,1,0.000510629550693066,1,-0.372751337042839,1
"Inyo",2007,18434,1,0.000506433079239497,1,-0.0433792430322091,2
"Inyo",2008,18416,1,0.000501738552965416,1,-0.0976456547683628,2
"Inyo",2009,18416,1,0.000498177914817582,1,0,2
"Inyo",2010,18525,1,0.000497664135138983,1,0.591876629018245,5
"Inyo",2011,18536,1,0.000493808281918281,1,0.0593792172739541,3
"Inyo",2012,18559,1,0.000489924370977523,1,0.124082865774709,3
"Inyo",2013,18562,1,0.000485418016121516,1,0.0161646640443989,2
"Inyo",2014,18586,1,0.000481908854819811,1,0.129296412024566,3
"Inyo",2015,18619,1,0.000478543521090278,1,0.177552996879372,3
"Inyo",2016,18650,1,0.000475088026933441,1,0.166496589505344,3
"Kern",1981,412800,4,0.0171720953450643,4,NA,NA
"Kern",1982,426300,4,0.0173666843198762,4,3.2703488372093,5
"Kern",1983,440400,4,0.0175626096666135,4,3.30752990851513,5
"Kern",1984,453400,4,0.0177199359049517,4,2.95186194368756,4
"Kern",1985,466500,4,0.0178646651093325,4,2.88928098808999,4
"Kern",1986,480600,4,0.0179717298631366,4,3.02250803858521,4
"Kern",1987,492900,4,0.0179969329633416,4,2.55930087390762,3
"Kern",1988,504200,4,0.0179679982894409,4,2.29255427064313,3
"Kern",1989,518300,4,0.0180146675471829,4,2.79650932169774,4
"Kern",1990,537300,4,0.0181778198795588,4,3.66583060003859,5
"Kern",1991,559776,4,0.018570337838387,4,4.18313791178113,5
"Kern",1992,581031,4,0.0189119238949272,4,3.79705453610015,5
"Kern",1993,596025,4,0.0191335461005703,4,2.58058520113385,3
"Kern",1994,606886,4,0.0193159285450114,4,1.82223900004194,2
"Kern",1995,615564,4,0.019468925227807,4,1.42992258842682,2
"Kern",1996,622389,4,0.019548990167193,4,1.10873930249332,1
"Kern",1997,630818,4,0.0195858347536125,4,1.35429771413055,2
"Kern",1998,638250,4,0.0195435239100202,4,1.17815281111192,2
